,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,0.557261
1,3,Longest Substring Without Repeating Characters,32.4%,Medium,0.500018
2,15,3Sum,29.8%,Medium,0.60419
3,17,Letter Combinations of a Phone Number,51.9%,Medium,3.80704
4,20,Valid Parentheses,40.5%,Easy,2.81458
5,31,Next Permutation,34.7%,Medium,4.11612
6,32,Longest Valid Parentheses,30.7%,Hard,100
7,49,Group Anagrams,62.3%,Medium,3.51212
8,56,Merge Intervals,43.2%,Medium,1.00482
9,62,Unique Paths,58.1%,Medium,1.97496
10,70,Climbing Stairs,50.0%,Easy,1.26861
11,121,Best Time to Buy and Sell Stock,52.9%,Easy,1.42747
12,122,Best Time to Buy and Sell Stock II,60.4%,Medium,1.7058
13,146,LRU Cache,38.3%,Medium,7.36971
14,149,Max Points on a Line,19.2%,Hard,26.7242
15,283,Move Zeroes,59.6%,Easy,1.01137
16,453,Minimum Moves to Equal Array Elements,52.7%,Medium,34.6725
17,871,Minimum Number of Refueling Stops,35.2%,Hard,26.6844
18,1047,Remove All Adjacent Duplicates In String,71.2%,Easy,4.43068
19,1326,Minimum Number of Taps to Open to Water a Garden,48.0%,Hard,74.5993
20,1712,Ways to Split Array Into Three Subarrays,29.7%,Medium,60.0732
