,#,Title,Acceptance,Difficulty,Frequency
0,48,Rotate Image,64.0%,Medium,3.91867
1,152,Maximum Product Subarray,33.6%,Medium,2.32578
2,200,Number of Islands,52.0%,Medium,0.122023
3,239,Sliding Window Maximum,45.7%,Hard,2.45177
4,295,Find Median from Data Stream,49.5%,Hard,3.8332
5,332,Reconstruct Itinerary,39.4%,Hard,1.46623
6,341,Flatten Nested List Iterator,57.5%,Medium,1.04402
7,677,Map Sum Pairs,56.8%,Medium,0
8,713,Subarray Product Less Than K,42.0%,Medium,63.6505
9,740,Delete and Earn,53.7%,Medium,0
10,741,Cherry Pickup,35.9%,Hard,5.79248
11,743,Network Delay Time,47.1%,Medium,1.65275
12,1012,Numbers With Repeated Digits,38.4%,Hard,72.8914
13,1177,Can Make Palindrome from Substring,36.9%,Medium,37.2083
14,1425,Constrained Subsequence Sum,45.8%,Hard,0
15,1223,Dice Roll Simulation,47.5%,Hard,100
16,1319,Number of Operations to Make Network Connected,56.3%,Medium,10.0997
17,1326,Minimum Number of Taps to Open to Water a Garden,48.0%,Hard,0
18,1338,Reduce Array Size to The Half,68.5%,Medium,8.09011
19,1370,Increasing Decreasing String,77.8%,Easy,58.5087
20,1411,Number of Ways to Paint N × 3 Grid,61.8%,Hard,38.9283
21,1649,Create Sorted Array through Instructions,37.0%,Hard,0
22,1665,Minimum Initial Energy to Finish Tasks,55.4%,Hard,0
23,1819,Number of Different Subsequences GCDs,36.0%,Hard,0
